section	key	count
indicator_category	CLERK_USAGE	1214
indicator_category	CLIENT_STORAGE	133
indicator_category	CONSOLE_LOGGING	116
indicator_category	FALLBACK_HINT	565
indicator_category	FRONTEND_ONLY_SECURITY_HINT	713
indicator_category	NAVIGATION_AUTH_HINT	3008
indicator_category	POSSIBLE_SECRET_WORDING	356
indicator_category	SUPABASE_USAGE	432
indicator_category	UNSAFE_DOM_PATTERN	124
indicator_category	UPLOAD_STORAGE_HINT	3970
top_file	clerk-private-profile.html	607
top_file	backups/clerk-private-profile.before-profile-resilience-shell.html	478
top_file	backups/clerk-private-profile.before-atomic-profile-resolver.html	431
top_file	docs/VVIP_TIGER_PAGE_FLOW_USER_JOURNEY_AUDIT.md	430
top_file	backups/clerk-private-profile.before-jwt-rls-bridge.html	343
top_file	social-ui.js	289
top_file	approved/social-ui-before-force-post-options-menu-20260708.js	288
top_file	approved/social-ui-before-tiger-care-feedback-fix-20260708.js	288
top_file	docs/security/sql-review/20260709_vvip_tiger_atomic_profile_resolver_rpc_hardened_review.sql	282
top_file	approved/social-ui-before-post-options-menu-tiger-care-20260707.js	277
top_file	supabase-schema.sql	246
top_file	ADMIN-ROLE-SPEC.md	173
top_file	approved/legacy-auth-redirect-7-1/private-profile-before-redirect-20260708.html	167
top_file	approved/private-profile-auth-guard-approved.html	165
top_file	approved/private-profile-auth-guard-final.html	165
top_file	approved/private-profile-before-auth-guard.html	163
top_file	approved/private-profile.desktop-approved.html	163
top_file	approved/private-profile.final-approved.html	163
top_file	approved/styles-before-tiger-care-feedback-fix-20260708.css	140
top_file	approved/visual-identity-pass-7-1/styles-before-visual-identity-20260708.css	140
top_file	styles.css	140
top_file	approved/styles-before-post-options-menu-tiger-care-20260707.css	139
top_file	approved/styles-before-vvip-gate-login-20260707.css	139
top_file	RLS-POLICIES.sql	137
top_file	backups/clerk-private-profile.before-self-healing-profile-gateway.html	135
top_file	styles/vvip-visual-trust-layer.css	135
top_file	supabase/migrations/20260709_vvip_tiger_atomic_profile_resolver_rpc.sql	126
top_file	approved/legacy-auth-audit-7-1/clerk-private-profile-before-linkrel-fix-20260708.html	121
top_file	approved/visual-identity-pass-7-1/clerk-private-profile-before-visual-identity-20260708.html	121
top_file	approved/clerk-private-profile-before-tiger-care-card-20260707.html	120
top_file	approved/clerk-private-profile-before-vip-membership-center-20260707.html	119
top_file	scripts/profile-loader.js	115
top_file	docs/VVIP_TIGER_MEMORY_MAP.md	113
top_file	docs/VVIP_TIGER_FINAL_FRONTEND_SAFETY_SWEEP.md	98
top_file	docs/VVIP_TIGER_NAVIGATION_BUTTON_AUDIT.md	98
top_file	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	95
top_file	docs/VVIP_TIGER_REPOSITORY_HOUSEKEEPING_AUDIT.md	88
top_file	RLS-QUICK-REFERENCE.md	86
top_file	public-profile.html	84
top_file	RLS-IMPLEMENTATION-GUIDE.md	83
top_file	approved/clerk-private-profile-before-official-ui-20260707.html	83
top_file	auth.js	82
top_file	RLS-EMAIL-VERIFICATION-POLICIES.sql	79
top_file	docs/VVIP_TIGER_DB_AUDIT.md	78
top_file	supabase/migrations/20260707_vvip_tiger_clerk_profiles_table.sql	77
top_file	backups/visual-trust-layer/phase-2-2/public-profile.before-readable-lock.20260709-184736.html	70
top_file	docs/security/RPC_HARDENED_SECURITY_SCENARIOS_20260709.md	68
top_file	IMPLEMENTATION_CHECKLIST.md	67
top_file	approved/nav-cleanup-7-1/public-profile-before-private-link-cleanup-20260708.html	66
top_file	approved/public-profile.final-approved.html	66
