section	key	count
priority_batch	B1	235
priority_batch	B2	108
indicator	CONSOLE_LOGGING	104
indicator	POSSIBLE_SECRET_WORDING	239
total_files_with_high_risk	unique_files	78
top_file	backups/clerk-private-profile.before-profile-resilience-shell.html	28
top_file	clerk-private-profile.html	26
top_file	backups/clerk-private-profile.before-atomic-profile-resolver.html	24
top_file	auth.js	16
top_file	supabase/migrations/20260709_vvip_tiger_atomic_profile_resolver_rpc.sql	15
top_file	approved/supabase-auth-bridge-approved.js	10
top_file	approved/supabase-auth-bridge-final.js	10
top_file	auth-supabase.js	10
top_file	scripts/supabase-auth-bridge.js	10
top_file	backups/clerk-private-profile.before-jwt-rls-bridge.html	9
top_file	supabase/migrations/20260709_vvip_tiger_profiles_clerk_jwt_rls_bridge.sql	6
top_file	approved/index-before-supabase-auth-20260704-191914.html	5
top_file	approved/index-before-supabase-auth-20260704-192024.html	5
top_file	approved/index-before-vvip-gate-login-20260707.html	5
top_file	approved/index-supabase-auth-approved.html	5
top_file	approved/index-supabase-auth-final.html	5
top_file	approved/require-auth-approved.js	5
top_file	approved/require-auth-final.js	5
top_file	scripts/require-auth.js	5
top_file	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	4
top_file	supabase/migrations/20260707_vvip_tiger_clerk_profiles_table.sql	4
top_file	scripts/profile-loader.js	3
top_file	approved/auth-clerk-index-before-profile-button-fix-20260707.js	2
top_file	approved/auth-clerk-index-before-vvip-gate-login-20260707.js	2
top_file	approved/legacy-auth-redirect-7-1/sw-before-legacy-auth-audit-20260708.js	2
